"Park","Year","Annual_Visits"
"ACAD",1994,"2,710,749"
"ACAD",1995,"2,845,378"
"ACAD",1996,"2,704,831"
"ACAD",1997,"2,760,306"
"ACAD",1998,"2,594,497"
"ACAD",1999,"2,602,227"
"ACAD",2000,"2,469,238"
"ACAD",2001,"2,516,551"
"ACAD",2002,"2,558,572"
"ACAD",2003,"2,431,062"
"ACAD",2004,"2,207,847"
"ACAD",2005,"2,051,484"
"ACAD",2006,"2,083,588"
"ACAD",2007,"2,202,228"
"ACAD",2008,"2,075,857"
"ACAD",2009,"2,227,698"
"ACAD",2010,"2,504,208"
"ACAD",2011,"2,374,645"
"ACAD",2012,"2,431,052"
"ACAD",2013,"2,254,922"
"ACAD",2014,"2,563,129"
"ACAD",2015,"2,811,184"
"ACAD",2016,"3,303,393"
"ACAD",2017,"3,509,271"
"ACAD",2018,"3,537,575"
"ACAD",2019,"3,437,286"
"ACAD",2020,"2,669,034"
"ACAD",2021,"4,069,098"
"ACAD",2022,"3,970,260"
"ACAD",2023,"3,879,890"
"ACAD",2024,"3,961,661"
