"Var1","Var2"
"A1",2013
"A2",2013
"A3",2013
"A4",2013
"A5",2013
"B1",2013
"B2",2013
"B3",2013
"B4",2013
"B5",2013
"F1",2013
"F2",2013
"F3",2013
"F4",2013
"F5",2013
"R5",2013
"R1",2013
"R2",2013
"R3",2013
"R4",2013
"A1",2014
"A2",2014
"A3",2014
"A4",2014
"A5",2014
"B1",2014
"B2",2014
"B3",2014
"B4",2014
"B5",2014
"F1",2014
"F2",2014
"F3",2014
"F4",2014
"F5",2014
"R5",2014
"R1",2014
"R2",2014
"R3",2014
"R4",2014
"A1",2016
"A2",2016
"A3",2016
"A4",2016
"A5",2016
"B1",2016
"B2",2016
"B3",2016
"B4",2016
"B5",2016
"F1",2016
"F2",2016
"F3",2016
"F4",2016
"F5",2016
"R5",2016
"R1",2016
"R2",2016
"R3",2016
"R4",2016
"A1",2017
"A2",2017
"A3",2017
"A4",2017
"A5",2017
"B1",2017
"B2",2017
"B3",2017
"B4",2017
"B5",2017
"F1",2017
"F2",2017
"F3",2017
"F4",2017
"F5",2017
"R5",2017
"R1",2017
"R2",2017
"R3",2017
"R4",2017
"A1",2018
"A2",2018
"A3",2018
"A4",2018
"A5",2018
"B1",2018
"B2",2018
"B3",2018
"B4",2018
"B5",2018
"F1",2018
"F2",2018
"F3",2018
"F4",2018
"F5",2018
"R5",2018
"R1",2018
"R2",2018
"R3",2018
"R4",2018
"A1",2019
"A2",2019
"A3",2019
"A4",2019
"A5",2019
"B1",2019
"B2",2019
"B3",2019
"B4",2019
"B5",2019
"F1",2019
"F2",2019
"F3",2019
"F4",2019
"F5",2019
"R5",2019
"R1",2019
"R2",2019
"R3",2019
"R4",2019
"A1",2021
"A2",2021
"A3",2021
"A4",2021
"A5",2021
"B1",2021
"B2",2021
"B3",2021
"B4",2021
"B5",2021
"F1",2021
"F2",2021
"F3",2021
"F4",2021
"F5",2021
"R5",2021
"R1",2021
"R2",2021
"R3",2021
"R4",2021
"A1",2022
"A2",2022
"A3",2022
"A4",2022
"A5",2022
"B1",2022
"B2",2022
"B3",2022
"B4",2022
"B5",2022
"F1",2022
"F2",2022
"F3",2022
"F4",2022
"F5",2022
"R5",2022
"R1",2022
"R2",2022
"R3",2022
"R4",2022
"A1",2023
"A2",2023
"A3",2023
"A4",2023
"A5",2023
"B1",2023
"B2",2023
"B3",2023
"B4",2023
"B5",2023
"F1",2023
"F2",2023
"F3",2023
"F4",2023
"F5",2023
"R5",2023
"R1",2023
"R2",2023
"R3",2023
"R4",2023
"A1",2024
"A2",2024
"A3",2024
"A4",2024
"A5",2024
"B1",2024
"B2",2024
"B3",2024
"B4",2024
"B5",2024
"F1",2024
"F2",2024
"F3",2024
"F4",2024
"F5",2024
"R5",2024
"R1",2024
"R2",2024
"R3",2024
"R4",2024
"A1",2015
"A2",2015
"A3",2015
"A4",2015
"A5",2015
"B1",2015
"B2",2015
"B3",2015
"B4",2015
"B5",2015
"F1",2015
"F2",2015
"F3",2015
"F4",2015
"F5",2015
"R5",2015
"R1",2015
"R2",2015
"R3",2015
"R4",2015
